Time,GPS_Data.seq,GPS_Data.stamp.secs,GPS_Data.stamp.nsecs,GPS_Data.frame_id,lat,lon,alt,utm_easting,utm_northing,zone,letter
1646525312.243909,0,0,0,,42.205229,-71.051582,11.8,330636.3100929178,4674600.424408762,19,T
1646525313.2451367,0,0,0,,42.205231000000005,-71.051581,11.5,330636.3979934852,4674600.644501841,19,T
1646525314.2417347,0,0,0,,42.205231000000005,-71.051581,11.5,330636.3979934852,4674600.644501841,19,T
1646525315.242307,0,0,0,,42.205231000000005,-71.051582,11.3,330636.3154372625,4674600.646488555,19,T
1646525316.240964,0,0,0,,42.20523,-71.05158499999999,11.0,330636.0650964264,4674600.541408802,19,T
1646525317.2469206,0,0,0,,42.205226,-71.05158999999999,10.8,330635.6416265882,4674600.107182813,19,T
1646525318.2454174,0,0,0,,42.205222000000006,-71.051597,10.6,330635.0530442335,4674599.676930303,19,T
1646525319.2445548,0,0,0,,42.205216,-71.051606,10.5,330634.2940049252,4674599.02857152,19,T
1646525320.2443326,0,0,0,,42.205206,-71.051618,10.3,330633.27660786256,4674597.942013472,19,T
1646525321.2450576,0,0,0,,42.205193,-71.051634,10.3,330631.92096871056,4674596.530282926,19,T
1646525322.246052,0,0,0,,42.205176,-71.051651,10.2,330630.47208369983,4674594.676379826,19,T
1646525323.2415879,0,0,0,,42.205153,-71.05167,10.1,330628.8420516198,4674592.1602112325,19,T
1646525324.2369585,0,0,0,,42.205127000000005,-71.051693,10.0,330626.873776081,4674589.31887058,19,T
1646525325.233901,0,0,0,,42.205096999999995,-71.051722,9.8,330624.3994712782,4674586.045291938,19,T
1646525326.237176,0,0,0,,42.205064,-71.051757,9.9,330621.4218084655,4674582.450515708,19,T
1646525327.2414463,0,0,0,,42.205028,-71.05179600000001,10.1,330618.1058994386,4674578.530568656,19,T
1646525328.2454057,0,0,0,,42.204989999999995,-71.051839,10.1,330614.4544156881,4674574.396491131,19,T
1646525329.2431357,0,0,0,,42.204952999999996,-71.051884,10.4,330610.64048712223,4674570.377429298,19,T
1646525330.2449381,0,0,0,,42.204918,-71.05193,10.8,330606.74934285996,4674566.5824362645,19,T
1646525331.2431862,0,0,0,,42.204885000000004,-71.051975,11.2,330602.94609646423,4674563.007537973,19,T
1646525332.2481015,0,0,0,,42.204854999999995,-71.05202100000001,11.9,330599.068307703,4674559.767748455,19,T
1646525333.2477744,0,0,0,,42.204825,-71.05206600000001,12.1,330595.2730721297,4674556.5259738015,19,T
1646525334.243429,0,0,0,,42.204795000000004,-71.052112,12.1,330591.3952762807,4674553.286188333,19,T
1646525335.2445154,0,0,0,,42.204768,-71.052158,12.3,330587.52549556707,4674550.379524589,19,T
1646525336.2391512,0,0,0,,42.204741999999996,-71.052204,12.3,330583.65838459984,4674547.583902783,19,T
1646525337.2418866,0,0,0,,42.204716,-71.052254,11.5,330579.4610429584,4674544.796232458,19,T
1646525338.2435932,0,0,0,,42.204691000000004,-71.05230499999999,10.9,330575.1838141069,4674542.121591853,19,T
1646525339.24425,0,0,0,,42.204668,-71.052358,10.5,330570.74681433936,4674539.673008465,19,T
1646525340.2457426,0,0,0,,42.204645,-71.052409,10.1,330566.47492537985,4674537.220452771,19,T
1646525341.2423477,0,0,0,,42.204624,-71.052457,9.8,330562.45605099853,4674534.984016696,19,T
1646525342.2419121,0,0,0,,42.204605,-71.052502,9.7,330558.69019180886,4674532.963699821,19,T
1646525343.233989,0,0,0,,42.204588,-71.052543,9.8,330555.25990544574,4674531.15751412,19,T
1646525344.2403016,0,0,0,,42.204568,-71.052581,9.9,330552.06926820637,4674529.012247332,19,T
1646525345.2448661,0,0,0,,42.204553,-71.05261999999999,9.9,330548.8094393385,4674527.424169111,19,T
1646525346.2435122,0,0,0,,42.204543,-71.052659,9.9,330545.56297664886,4674526.391291817,19,T
1646525347.246447,0,0,0,,42.204530999999996,-71.052699,10.1,330542.2286086226,4674525.138324002,19,T
1646525348.247467,0,0,0,,42.204516999999996,-71.052743,10.3,330538.55866342655,4674523.671229276,19,T
1646525349.2461934,0,0,0,,42.204503,-71.052788,10.4,330534.8061594487,4674522.206124302,19,T
1646525350.2449136,0,0,0,,42.204487,-71.052836,10.5,330530.8006347092,4674520.524905269,19,T
1646525351.2464936,0,0,0,,42.204468999999996,-71.052889,10.6,330526.376974204,4674518.631548541,19,T
1646525352.2480185,0,0,0,,42.204446,-71.052943,10.8,330521.8573844379,4674516.184983097,19,T
1646525353.2463436,0,0,0,,42.204422,-71.05299699999999,10.9,330517.3351174727,4674513.627380582,19,T
